# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 3003332
2 0
0.00055 0.0011 1.26836e-05
0.00165 0.0011 0.00020376
0.00275 0.0011 0.000193995
0.00385 0.0011 0
0.00495 0.0011 0.000246856
0.00605 0.0011 0.00119942
0.00715 0.0011 0.0022565
0.00825 0.0011 0.00107312
0.00935 0.0011 0.000124989
0.01045 0.0011 0.0011165
0.01155 0.0011 0.00248487
0.01265 0.0011 0.00299722
0.01375 0.0011 0.00489308
0.01485 0.0011 0.00923272
0.01595 0.0011 0.000464469
0.01705 0.0011 0.00940022
0.01815 0.0011 0.00786951
0.01925 0.0011 0.0111076
0.02035 0.0011 0.0120345
0.02145 0.0011 0.000738323
0.02255 0.0011 0.0139792
0.02365 0.0011 0.0914085
0.02475 0.0011 0.0107044
0.02585 0.0011 0.0136797
0.02695 0.0011 0.0095084
0.02805 0.0011 0.00516688
0.02915 0.0011 0.035564
0.03025 0.0011 0.101039
0.03135 0.0011 0.0374689
0.03245 0.0011 0.0576087
0.03355 0.0011 0.0347071
0.03465 0.0011 0.0300831
0.03575 0.0011 0.776308
0.03685 0.0011 0.114455
0.03795 0.0011 0.0537967
0.03905 0.0011 0.083808
0.04015 0.0011 0.104116
0.04125 0.0011 0.149799
0.04235 0.0011 0.217761
0.04345 0.0011 0.277371
0.04455 0.0011 0.987206
0.04565 0.0011 0.608426
0.04675 0.0011 0.905568
0.04785 0.0011 0.35185
0.04895 0.0011 0.62836
0.05005 0.0011 1.25534
0.05115 0.0011 1.68685
0.05225 0.0011 0.643727
0.05335 0.0011 1.9175
0.05445 0.0011 4.14009
0.05555 0.0011 4.94953
0.05665 0.0011 9.11293
0.05775 0.0011 15.6234
0.05885 0.0011 24.8727
0.05995 0.0011 15.0221
0.06105 0.0011 19.1065
0.06215 0.0011 33.7163
0.06325 0.0011 49.1242
0.06435 0.0011 39.2714
0.06545 0.0011 45.6044
0.06655 0.0011 73.8016
0.06765 0.0011 58.6606
0.06875 0.0011 90.6286
0.06985 0.0011 83.0313
0.07095 0.0011 95.2749
0.07205 0.0011 159.057
0.07315 0.0011 197.504
0.07425 0.0011 211.266
0.07535 0.0011 269.504
0.07645 0.0011 319.228
0.07755 0.0011 258.543
0.07865 0.0011 324.395
0.07975 0.0011 394.335
0.08085 0.0011 448.732
0.08195 0.0011 563.476
0.08305 0.0011 534.463
0.08415 0.0011 587.725
0.08525 0.0011 688.578
0.08635 0.0011 658.836
0.08745 0.0011 710.018
0.08855 0.0011 820.677
0.08965 0.0011 937.864
0.09075 0.0011 1156.56
0.09185 0.0011 1217.74
0.09295 0.0011 1312.04
0.09405 0.0011 1225.2
0.09515 0.0011 1419.64
0.09625 0.0011 1502.34
0.09735 0.0011 1571.33
0.09845 0.0011 1771.65
0.09955 0.0011 1834.64
0.10065 0.0011 1860.42
0.10175 0.0011 1719.61
0.10285 0.0011 2339.58
0.10395 0.0011 2095.67
0.10505 0.0011 2314.68
0.10615 0.0011 2248.84
0.10725 0.0011 2545.9
0.10835 0.0011 3040.35
0.10945 0.0011 3169.66
0.11055 0.0011 3365.75
0.11165 0.0011 3495.61
0.11275 0.0011 3588.49
0.11385 0.0011 3414.93
0.11495 0.0011 3848.3
0.11605 0.0011 3964.29
0.11715 0.0011 4245.78
0.11825 0.0011 4443.75
0.11935 0.0011 4961.76
0.12045 0.0011 4905.69
0.12155 0.0011 5015.04
0.12265 0.0011 5292.2
0.12375 0.0011 4845.44
0.12485 0.0011 5330.47
0.12595 0.0011 5334.98
0.12705 0.0011 5179.28
0.12815 0.0011 5553.31
0.12925 0.0011 5958.84
0.13035 0.0011 5667.65
0.13145 0.0011 6233.72
0.13255 0.0011 5762.78
0.13365 0.0011 6036.45
0.13475 0.0011 6492.18
0.13585 0.0011 6713.79
0.13695 0.0011 6687.44
0.13805 0.0011 6770.78
0.13915 0.0011 6123.6
0.14025 0.0011 6997.49
0.14135 0.0011 6797.32
0.14245 0.0011 7036.33
0.14355 0.0011 6755.53
0.14465 0.0011 7611.59
0.14575 0.0011 7602.61
0.14685 0.0011 7481.68
0.14795 0.0011 7717.67
0.14905 0.0011 7583.83
0.15015 0.0011 7529.12
0.15125 0.0011 7812.89
0.15235 0.0011 7888.7
0.15345 0.0011 7584.21
0.15455 0.0011 7797.97
0.15565 0.0011 8439.01
0.15675 0.0011 8961.35
0.15785 0.0011 8165.23
0.15895 0.0011 8049.49
0.16005 0.0011 8854.44
0.16115 0.0011 7722.33
0.16225 0.0011 8253.53
0.16335 0.0011 8920.49
0.16445 0.0011 8299.76
0.16555 0.0011 8435.91
0.16665 0.0011 8693.66
0.16775 0.0011 8400.35
0.16885 0.0011 8760.85
0.16995 0.0011 8818.54
0.17105 0.0011 9311.33
0.17215 0.0011 9139.79
0.17325 0.0011 9489.05
0.17435 0.0011 8905.63
0.17545 0.0011 9149.52
0.17655 0.0011 9261.02
0.17765 0.0011 9556.9
0.17875 0.0011 9089.89
0.17985 0.0011 9550.99
0.18095 0.0011 9494.24
0.18205 0.0011 10599.9
0.18315 0.0011 9680.16
0.18425 0.0011 10250.6
0.18535 0.0011 10322.3
0.18645 0.0011 9827.86
0.18755 0.0011 10669.5
0.18865 0.0011 10574.1
0.18975 0.0011 11582.2
0.19085 0.0011 10982.5
0.19195 0.0011 12789.9
0.19305 0.0011 12654.4
0.19415 0.0011 13853.3
0.19525 0.0011 14782
0.19635 0.0011 14498.6
0.19745 0.0011 14855.4
0.19855 0.0011 14969.5
0.19965 0.0011 15383.9
0.20075 0.0011 15205.3
0.20185 0.0011 15293.4
0.20295 0.0011 14670.5
0.20405 0.0011 14662.2
0.20515 0.0011 15252.6
0.20625 0.0011 15128.4
0.20735 0.0011 14487.5
0.20845 0.0011 15906.7
0.20955 0.0011 14746
0.21065 0.0011 15163.9
0.21175 0.0011 14389.8
0.21285 0.0011 14885
0.21395 0.0011 14704.6
0.21505 0.0011 14642
0.21615 0.0011 14124
0.21725 0.0011 14445.5
0.21835 0.0011 14089.1
0.21945 0.0011 13905.5
0.22055 0.0011 14114.2
0.22165 0.0011 14393.1
0.22275 0.0011 13469.9
0.22385 0.0011 14139.4
0.22495 0.0011 13875.1
0.22605 0.0011 13624.7
0.22715 0.0011 12609.7
0.22825 0.0011 14043.1
0.22935 0.0011 13444.7
0.23045 0.0011 13920.4
0.23155 0.0011 13093.3
0.23265 0.0011 13936.2
0.23375 0.0011 13139.8
0.23485 0.0011 13308.8
0.23595 0.0011 13744.6
0.23705 0.0011 12885.5
0.23815 0.0011 14037.8
0.23925 0.0011 12613.3
0.24035 0.0011 12663
0.24145 0.0011 12336.2
0.24255 0.0011 12177.8
0.24365 0.0011 12852.2
0.24475 0.0011 12256.6
0.24585 0.0011 12261.7
0.24695 0.0011 11574.9
0.24805 0.0011 11543.8
0.24915 0.0011 12839.8
0.25025 0.0011 12445.7
0.25135 0.0011 12607.5
0.25245 0.0011 12385.3
0.25355 0.0011 11662.2
0.25465 0.0011 11437.3
0.25575 0.0011 12342.8
0.25685 0.0011 12738.1
0.25795 0.0011 11213.8
0.25905 0.0011 12103
0.26015 0.0011 12247.1
0.26125 0.0011 12456.5
0.26235 0.0011 11322.4
0.26345 0.0011 11354.1
0.26455 0.0011 10898.3
0.26565 0.0011 11572.2
0.26675 0.0011 11181.5
0.26785 0.0011 11356.5
0.26895 0.0011 11299.3
0.27005 0.0011 10778.6
0.27115 0.0011 10300.1
0.27225 0.0011 10741.8
0.27335 0.0011 10703.1
0.27445 0.0011 9970.51
0.27555 0.0011 11035.1
0.27665 0.0011 10346.6
0.27775 0.0011 11675.7
0.27885 0.0011 11026.5
0.27995 0.0011 10381.1
0.28105 0.0011 10466.3
0.28215 0.0011 10458.1
0.28325 0.0011 10567.5
0.28435 0.0011 9791
0.28545 0.0011 10317.9
0.28655 0.0011 10602.1
0.28765 0.0011 9472.83
0.28875 0.0011 9495.78
0.28985 0.0011 10115.4
0.29095 0.0011 10181
0.29205 0.0011 9574.41
0.29315 0.0011 9832.19
0.29425 0.0011 9506.12
0.29535 0.0011 9205.69
0.29645 0.0011 9845.12
0.29755 0.0011 10464.2
0.29865 0.0011 9622.69
0.29975 0.0011 10400.4
0.30085 0.0011 9056.12
0.30195 0.0011 9390.88
0.30305 0.0011 9188.44
0.30415 0.0011 8261.09
0.30525 0.0011 9191.49
0.30635 0.0011 9506.99
0.30745 0.0011 8924.97
0.30855 0.0011 8903.47
0.30965 0.0011 9621.68
0.31075 0.0011 9866.18
0.31185 0.0011 9388.05
0.31295 0.0011 9592.21
0.31405 0.0011 8646.32
0.31515 0.0011 9021.16
0.31625 0.0011 9058.91
0.31735 0.0011 8911.28
0.31845 0.0011 8596.47
0.31955 0.0011 8831.27
0.32065 0.0011 8163.26
0.32175 0.0011 8714.6
0.32285 0.0011 8588.36
0.32395 0.0011 8757.56
0.32505 0.0011 8281.72
0.32615 0.0011 9140.11
0.32725 0.0011 9234.73
0.32835 0.0011 9455.21
0.32945 0.0011 8856.57
0.33055 0.0011 8594.45
0.33165 0.0011 8763.51
0.33275 0.0011 9121.18
0.33385 0.0011 8752.56
