# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 2998258
2 0
0.00055 0.0011 0
0.00165 0.0011 0
0.00275 0.0011 0
0.00385 0.0011 0.0071481
0.00495 0.0011 0
0.00605 0.0011 0
0.00715 0.0011 0
0.00825 0.0011 0
0.00935 0.0011 0
0.01045 0.0011 0
0.01155 0.0011 0
0.01265 0.0011 0.00894566
0.01375 0.0011 0
0.01485 0.0011 0.0149719
0.01595 0.0011 0
0.01705 0.0011 0
0.01815 0.0011 0.0180389
0.01925 0.0011 0
0.02035 0.0011 0.020479
0.02145 0.0011 0
0.02255 0.0011 0
0.02365 0.0011 0
0.02475 0.0011 0
0.02585 0.0011 0
0.02695 0.0011 0
0.02805 0.0011 0
0.02915 0.0011 0.0459697
0.03025 0.0011 0.0313199
0.03135 0.0011 0.0321641
0.03245 0.0011 0.0338578
0.03355 0.0011 0
0.03465 0.0011 0
0.03575 0.0011 0.0713429
0.03685 0.0011 0.0368576
0.03795 0.0011 0.0377117
0.03905 0.0011 0
0.04015 0.0011 0
0.04125 0.0011 0
0.04235 0.0011 0
0.04345 0.0011 0.0874898
0.04455 0.0011 0
0.04565 0.0011 0.137277
0.04675 0.0011 0.136465
0.04785 0.0011 0.0958892
0.04895 0.0011 0.150026
0.05005 0.0011 0.100491
0.05115 0.0011 0.106089
0.05225 0.0011 0.156842
0.05335 0.0011 0.319681
0.05445 0.0011 0.383195
0.05555 0.0011 0.445515
0.05665 0.0011 0.682487
0.05775 0.0011 1.28139
0.05885 0.0011 0.944442
0.05995 0.0011 0.853786
0.06105 0.0011 1.5215
0.06215 0.0011 1.20862
0.06325 0.0011 1.65371
0.06435 0.0011 2.00538
0.06545 0.0011 2.3841
0.06655 0.0011 2.15341
0.06765 0.0011 3.93627
0.06875 0.0011 3.32267
0.06985 0.0011 3.89365
0.07095 0.0011 5.15056
0.07205 0.0011 5.57043
0.07315 0.0011 7.51326
0.07425 0.0011 7.34317
0.07535 0.0011 7.44858
0.07645 0.0011 8.83846
0.07755 0.0011 10.9396
0.07865 0.0011 12.4326
0.07975 0.0011 14.1223
0.08085 0.0011 13.5614
0.08195 0.0011 17.8451
0.08305 0.0011 17.2434
0.08415 0.0011 18.2233
0.08525 0.0011 23.2776
0.08635 0.0011 23.1029
0.08745 0.0011 25.5521
0.08855 0.0011 27.678
0.08965 0.0011 27.7974
0.09075 0.0011 27.8848
0.09185 0.0011 29.7191
0.09295 0.0011 30.8946
0.09405 0.0011 36.5909
0.09515 0.0011 34.7624
0.09625 0.0011 36.25
0.09735 0.0011 40.9387
0.09845 0.0011 42.2587
0.09955 0.0011 40.2701
0.10065 0.0011 44.424
0.10175 0.0011 48.5671
0.10285 0.0011 50.4714
0.10395 0.0011 51.4271
0.10505 0.0011 52.5425
0.10615 0.0011 55.1433
0.10725 0.0011 57.5355
0.10835 0.0011 53.4922
0.10945 0.0011 58.939
0.11055 0.0011 60.0262
0.11165 0.0011 63.5657
0.11275 0.0011 69.1675
0.11385 0.0011 68.8296
0.11495 0.0011 74.77
0.11605 0.0011 76.6274
0.11715 0.0011 77.5821
0.11825 0.0011 78.5809
0.11935 0.0011 77.8107
0.12045 0.0011 79.0094
0.12155 0.0011 82.5919
0.12265 0.0011 82.7731
0.12375 0.0011 82.4725
0.12485 0.0011 85.663
0.12595 0.0011 85.2364
0.12705 0.0011 91.5311
0.12815 0.0011 88.1536
0.12925 0.0011 92.304
0.13035 0.0011 87.6469
0.13145 0.0011 90.1918
0.13255 0.0011 91.6727
0.13365 0.0011 93.5151
0.13475 0.0011 89.0494
0.13585 0.0011 97.4463
0.13695 0.0011 91.0488
0.13805 0.0011 89.9055
0.13915 0.0011 90.6718
0.14025 0.0011 91.3772
0.14135 0.0011 96.8245
0.14245 0.0011 100.007
0.14355 0.0011 96.8877
0.14465 0.0011 97.517
0.14575 0.0011 89.9686
0.14685 0.0011 83.6124
0.14795 0.0011 89.5923
0.14905 0.0011 99.9077
0.15015 0.0011 95.3733
0.15125 0.0011 90.5274
0.15235 0.0011 91.0726
0.15345 0.0011 92.8
0.15455 0.0011 89.2449
0.15565 0.0011 93.8656
0.15675 0.0011 89.0616
0.15785 0.0011 92.6161
0.15895 0.0011 89.5869
0.16005 0.0011 97.9241
0.16115 0.0011 89.1582
0.16225 0.0011 94.2736
0.16335 0.0011 89.7935
0.16445 0.0011 88.9729
0.16555 0.0011 87.0382
0.16665 0.0011 89.5618
0.16775 0.0011 93.192
0.16885 0.0011 87.1984
0.16995 0.0011 89.3644
0.17105 0.0011 90.1892
0.17215 0.0011 90.1264
0.17325 0.0011 92.4249
