# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 2997653
2 0
0.00055 0.0011 0
0.00165 0.0011 0
0.00275 0.0011 0
0.00385 0.0011 0
0.00495 0.0011 0
0.00605 0.0011 0
0.00715 0.0011 0
0.00825 0.0011 0
0.00935 0.0011 0
0.01045 0.0011 0
0.01155 0.0011 0
0.01265 0.0011 0
0.01375 0.0011 0
0.01485 0.0011 0
0.01595 0.0011 0
0.01705 0.0011 0
0.01815 0.0011 0
0.01925 0.0011 0
0.02035 0.0011 0
0.02145 0.0011 0
0.02255 0.0011 0
0.02365 0.0011 0
0.02475 0.0011 0
0.02585 0.0011 0
0.02695 0.0011 0
0.02805 0.0011 0
0.02915 0.0011 0.0286475
0.03025 0.0011 0.0307994
0.03135 0.0011 0.0314769
0.03245 0.0011 0
0.03355 0.0011 0.0334152
0.03465 0.0011 0
0.03575 0.0011 0.107025
0.03685 0.0011 0.0367249
0.03795 0.0011 0
0.03905 0.0011 0.039508
0.04015 0.0011 0.0803634
0.04125 0.0011 0.123484
0.04235 0.0011 0.127001
0.04345 0.0011 0.174694
0.04455 0.0011 0.135076
0.04565 0.0011 0
0.04675 0.0011 0.0932674
0.04785 0.0011 0.143635
0.04895 0.0011 0.0981683
0.05005 0.0011 0.3494
0.05115 0.0011 0.518275
0.05225 0.0011 0.365321
0.05335 0.0011 0.747031
0.05445 0.0011 0.981563
0.05555 0.0011 1.38723
0.05665 0.0011 0.918234
0.05775 0.0011 1.72956
0.05885 0.0011 1.35511
0.05995 0.0011 2.35597
0.06105 0.0011 3.02988
0.06215 0.0011 3.05602
0.06325 0.0011 3.89763
0.06435 0.0011 4.29706
0.06545 0.0011 5.32401
0.06655 0.0011 6.18742
0.06765 0.0011 7.77928
0.06875 0.0011 9.51575
0.06985 0.0011 9.2725
0.07095 0.0011 11.5421
0.07205 0.0011 14.9174
0.07315 0.0011 15.5888
0.07425 0.0011 18.3236
0.07535 0.0011 18.783
0.07645 0.0011 21.3597
0.07755 0.0011 24.5593
0.07865 0.0011 26.5475
0.07975 0.0011 30.247
0.08085 0.0011 30.4558
0.08195 0.0011 34.0385
0.08305 0.0011 37.4711
0.08415 0.0011 39.5854
0.08525 0.0011 46.2112
0.08635 0.0011 46.8586
0.08745 0.0011 53.3544
0.08855 0.0011 60.993
0.08965 0.0011 59.8244
0.09075 0.0011 65.7907
0.09185 0.0011 72.2576
0.09295 0.0011 74.554
0.09405 0.0011 81.533
0.09515 0.0011 84.9344
0.09625 0.0011 92.0359
0.09735 0.0011 92.336
0.09845 0.0011 101.419
0.09955 0.0011 103.157
0.10065 0.0011 109.293
0.10175 0.0011 116.995
0.10285 0.0011 111.41
0.10395 0.0011 125.464
0.10505 0.0011 122.836
0.10615 0.0011 124.046
0.10725 0.0011 131.718
0.10835 0.0011 131.949
0.10945 0.0011 131.698
0.11055 0.0011 134.319
0.11165 0.0011 138.816
0.11275 0.0011 143.459
0.11385 0.0011 145.426
0.11495 0.0011 152.727
0.11605 0.0011 151.825
0.11715 0.0011 154.822
0.11825 0.0011 151.695
0.11935 0.0011 159.396
0.12045 0.0011 152.59
0.12155 0.0011 160.644
0.12265 0.0011 159.829
0.12375 0.0011 166.303
0.12485 0.0011 168.789
0.12595 0.0011 170.152
0.12705 0.0011 167.467
0.12815 0.0011 170.472
0.12925 0.0011 170.071
0.13035 0.0011 178.934
0.13145 0.0011 186.611
0.13255 0.0011 186.86
0.13365 0.0011 191.495
0.13475 0.0011 199.923
0.13585 0.0011 212.094
0.13695 0.0011 230.119
0.13805 0.0011 263.994
0.13915 0.0011 292.416
0.14025 0.0011 288.329
0.14135 0.0011 296.73
0.14245 0.0011 299.537
0.14355 0.0011 295.144
0.14465 0.0011 300.752
0.14575 0.0011 292.956
0.14685 0.0011 294.969
0.14795 0.0011 272.736
0.14905 0.0011 277.211
0.15015 0.0011 267.913
0.15125 0.0011 276.965
0.15235 0.0011 262.224
0.15345 0.0011 257.401
0.15455 0.0011 260.187
0.15565 0.0011 261.694
0.15675 0.0011 249.063
0.15785 0.0011 268.103
0.15895 0.0011 239.673
0.16005 0.0011 244.873
0.16115 0.0011 240.136
0.16225 0.0011 237.706
0.16335 0.0011 225.679
0.16445 0.0011 224.013
0.16555 0.0011 229.714
0.16665 0.0011 218.9
0.16775 0.0011 214.463
0.16885 0.0011 216.343
0.16995 0.0011 211.754
0.17105 0.0011 206.935
0.17215 0.0011 215.488
0.17325 0.0011 205.736
0.17435 0.0011 213.055
0.17545 0.0011 193.142
0.17655 0.0011 196.684
0.17765 0.0011 197.607
0.17875 0.0011 189.968
0.17985 0.0011 191.153
