# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 3000038
2 0
0.00055 0.0011 0.019944
0.00165 0.0011 0.096835
0.00275 0.0011 0.151667
0.00385 0.0011 0.229249
0.00495 0.0011 0.347174
0.00605 0.0011 0.412591
0.00715 0.0011 0.546467
0.00825 0.0011 0.666252
0.00935 0.0011 0.881905
0.01045 0.0011 0.955804
0.01155 0.0011 1.22536
0.01265 0.0011 1.32171
0.01375 0.0011 1.43827
0.01485 0.0011 1.53087
0.01595 0.0011 1.65192
0.01705 0.0011 2.21898
0.01815 0.0011 1.89746
0.01925 0.0011 2.34717
0.02035 0.0011 1.86543
0.02145 0.0011 2.43945
0.02255 0.0011 2.5302
0.02365 0.0011 2.92689
0.02475 0.0011 2.96583
0.02585 0.0011 3.57799
0.02695 0.0011 3.53726
0.02805 0.0011 4.18369
0.02915 0.0011 3.71547
0.03025 0.0011 3.72926
0.03135 0.0011 3.91682
0.03245 0.0011 4.59706
0.03355 0.0011 4.64854
0.03465 0.0011 5.09068
0.03575 0.0011 5.15047
0.03685 0.0011 5.10571
0.03795 0.0011 5.27462
0.03905 0.0011 5.11839
0.04015 0.0011 6.04252
0.04125 0.0011 5.44829
0.04235 0.0011 6.35317
0.04345 0.0011 4.97018
0.04455 0.0011 4.84684
0.04565 0.0011 4.8605
0.04675 0.0011 5.47205
0.04785 0.0011 5.0313
0.04895 0.0011 5.08503
0.05005 0.0011 5.20355
0.05115 0.0011 5.35447
0.05225 0.0011 4.97563
0.05335 0.0011 6.34771
0.05445 0.0011 6.10382
0.05555 0.0011 5.32906
0.05665 0.0011 6.57554
0.05775 0.0011 5.73451
0.05885 0.0011 5.81984
0.05995 0.0011 5.57459
0.06105 0.0011 5.53066
0.06215 0.0011 7.46254
0.06325 0.0011 6.35018
0.06435 0.0011 7.11246
0.06545 0.0011 6.85496
0.06655 0.0011 7.40648
0.06765 0.0011 8.47199
0.06875 0.0011 7.39942
0.06985 0.0011 8.89127
0.07095 0.0011 8.95978
0.07205 0.0011 11.6435
0.07315 0.0011 10.7097
0.07425 0.0011 9.6768
0.07535 0.0011 11.3185
0.07645 0.0011 12.3618
0.07755 0.0011 12.9453
0.07865 0.0011 14.7981
0.07975 0.0011 14.3692
0.08085 0.0011 15.875
0.08195 0.0011 14.9721
0.08305 0.0011 17.4548
0.08415 0.0011 18.6491
0.08525 0.0011 22.8057
0.08635 0.0011 22.2958
0.08745 0.0011 22.1558
0.08855 0.0011 26.0754
0.08965 0.0011 22.2862
0.09075 0.0011 27.4978
0.09185 0.0011 28.1141
0.09295 0.0011 28.0277
0.09405 0.0011 32.8383
0.09515 0.0011 29.3362
0.09625 0.0011 34.0747
0.09735 0.0011 37.3573
0.09845 0.0011 38.5505
0.09955 0.0011 38.5357
0.10065 0.0011 41.1097
0.10175 0.0011 37.9021
0.10285 0.0011 41.687
0.10395 0.0011 42.3466
0.10505 0.0011 46.7108
0.10615 0.0011 41.5813
0.10725 0.0011 46.4282
0.10835 0.0011 47.9391
0.10945 0.0011 49.1723
0.11055 0.0011 50.9246
0.11165 0.0011 48.5676
