# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 2997510
2 0
0.00055 0.0011 0.000548792
0.00165 0.0011 0.00236515
0.00275 0.0011 0.00593538
0.00385 0.0011 0.011991
0.00495 0.0011 0.0195602
0.00605 0.0011 0.0207395
0.00715 0.0011 0.11828
0.00825 0.0011 0.0474708
0.00935 0.0011 0.0669422
0.01045 0.0011 0.0855035
0.01155 0.0011 0.110589
0.01265 0.0011 0.140755
0.01375 0.0011 0.146697
0.01485 0.0011 0.216533
0.01595 0.0011 0.232221
0.01705 0.0011 0.230721
0.01815 0.0011 0.248662
0.01925 0.0011 0.264225
0.02035 0.0011 0.29413
0.02145 0.0011 1.0598
0.02255 0.0011 1.32476
0.02365 0.0011 1.36937
0.02475 0.0011 1.62416
0.02585 0.0011 1.26684
0.02695 0.0011 1.68976
0.02805 0.0011 2.02761
0.02915 0.0011 2.40661
0.03025 0.0011 1.39694
0.03135 0.0011 1.98922
0.03245 0.0011 2.64182
0.03355 0.0011 2.73833
0.03465 0.0011 3.23347
0.03575 0.0011 2.87535
0.03685 0.0011 2.71159
0.03795 0.0011 3.2017
0.03905 0.0011 5.31274
0.04015 0.0011 3.17106
0.04125 0.0011 3.19502
0.04235 0.0011 3.8845
0.04345 0.0011 6.41961
0.04455 0.0011 6.56253
0.04565 0.0011 5.19603
0.04675 0.0011 4.55483
0.04785 0.0011 5.64266
0.04895 0.0011 7.32643
0.05005 0.0011 5.13968
0.05115 0.0011 9.76027
0.05225 0.0011 10.7745
0.05335 0.0011 9.87069
0.05445 0.0011 11.4916
0.05555 0.0011 15.0443
0.05665 0.0011 8.29386
0.05775 0.0011 18.4403
0.05885 0.0011 12.64
0.05995 0.0011 21.7236
0.06105 0.0011 23.7909
0.06215 0.0011 39.141
0.06325 0.0011 32.6224
0.06435 0.0011 41.1162
0.06545 0.0011 56.7435
0.06655 0.0011 50.2785
0.06765 0.0011 77.7698
0.06875 0.0011 81.3012
0.06985 0.0011 75.5061
0.07095 0.0011 98.6379
0.07205 0.0011 144.214
0.07315 0.0011 163.467
0.07425 0.0011 182.753
0.07535 0.0011 218.1
0.07645 0.0011 267.271
0.07755 0.0011 288.388
0.07865 0.0011 256.721
0.07975 0.0011 371.116
0.08085 0.0011 419.183
0.08195 0.0011 505.465
0.08305 0.0011 500.042
0.08415 0.0011 483.307
0.08525 0.0011 688.957
0.08635 0.0011 579.19
0.08745 0.0011 714.936
0.08855 0.0011 858.122
0.08965 0.0011 874.983
0.09075 0.0011 900.936
0.09185 0.0011 1045.9
0.09295 0.0011 1066.24
0.09405 0.0011 1127.75
0.09515 0.0011 1281.6
0.09625 0.0011 1167.66
0.09735 0.0011 1287.38
0.09845 0.0011 1621.18
0.09955 0.0011 1690.21
0.10065 0.0011 1697.02
0.10175 0.0011 1697.68
0.10285 0.0011 2217.37
0.10395 0.0011 1943.27
0.10505 0.0011 2183.12
0.10615 0.0011 2335.07
0.10725 0.0011 2726.05
0.10835 0.0011 2443.84
0.10945 0.0011 2686.61
0.11055 0.0011 2950.72
0.11165 0.0011 2787.04
