# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 2997510
2 0
0.00055 0.0011 0.0240217
0.00165 0.0011 0.075085
0.00275 0.0011 0.146168
0.00385 0.0011 0.250829
0.00495 0.0011 0.342908
0.00605 0.0011 0.321113
0.00715 0.0011 0.621147
0.00825 0.0011 0.604594
0.00935 0.0011 0.779344
0.01045 0.0011 0.919986
0.01155 0.0011 1.02538
0.01265 0.0011 1.34208
0.01375 0.0011 1.32478
0.01485 0.0011 1.56855
0.01595 0.0011 1.78057
0.01705 0.0011 1.80369
0.01815 0.0011 1.85951
0.01925 0.0011 1.89968
0.02035 0.0011 2.02268
0.02145 0.0011 3.22198
0.02255 0.0011 2.62118
0.02365 0.0011 3.04115
0.02475 0.0011 3.54098
0.02585 0.0011 3.01093
0.02695 0.0011 3.35218
0.02805 0.0011 4.08137
0.02915 0.0011 4.21219
0.03025 0.0011 3.56394
0.03135 0.0011 3.58675
0.03245 0.0011 4.52968
0.03355 0.0011 4.47188
0.03465 0.0011 4.33694
0.03575 0.0011 4.769
0.03685 0.0011 4.90111
0.03795 0.0011 4.81003
0.03905 0.0011 5.05924
0.04015 0.0011 5.07413
0.04125 0.0011 5.77155
0.04235 0.0011 5.79236
0.04345 0.0011 5.14106
0.04455 0.0011 5.17863
0.04565 0.0011 5.03567
0.04675 0.0011 4.51823
0.04785 0.0011 4.96148
0.04895 0.0011 5.12477
0.05005 0.0011 4.45966
0.05115 0.0011 5.28699
0.05225 0.0011 4.69207
0.05335 0.0011 5.47937
0.05445 0.0011 4.81339
0.05555 0.0011 4.87386
0.05665 0.0011 5.94743
0.05775 0.0011 6.38137
0.05885 0.0011 5.26031
0.05995 0.0011 7.37001
0.06105 0.0011 5.24829
0.06215 0.0011 7.23028
0.06325 0.0011 6.57966
0.06435 0.0011 6.9455
0.06545 0.0011 7.63821
0.06655 0.0011 7.38416
0.06765 0.0011 9.11435
0.06875 0.0011 8.81815
0.06985 0.0011 8.59449
0.07095 0.0011 9.49383
0.07205 0.0011 11.6147
0.07315 0.0011 11.9732
0.07425 0.0011 11.3414
0.07535 0.0011 11.359
0.07645 0.0011 13.2337
0.07755 0.0011 14.1262
0.07865 0.0011 14.6455
0.07975 0.0011 15.6686
0.08085 0.0011 18.1015
0.08195 0.0011 19.0303
0.08305 0.0011 20.2129
0.08415 0.0011 20.2948
0.08525 0.0011 23.9583
0.08635 0.0011 20.8988
0.08745 0.0011 25.456
0.08855 0.0011 27.9384
0.08965 0.0011 30.0601
0.09075 0.0011 26.0999
0.09185 0.0011 30.8086
0.09295 0.0011 30.3804
0.09405 0.0011 31.2078
0.09515 0.0011 35.6023
0.09625 0.0011 33.2256
0.09735 0.0011 33.0803
0.09845 0.0011 39.801
0.09955 0.0011 41.9549
0.10065 0.0011 43.0842
0.10175 0.0011 41.7212
0.10285 0.0011 47.0742
0.10395 0.0011 44.8254
0.10505 0.0011 47.6774
0.10615 0.0011 49.8209
0.10725 0.0011 55.0215
0.10835 0.0011 52.241
0.10945 0.0011 53.4624
0.11055 0.0011 55.7989
0.11165 0.0011 54.5321
0.11275 0.0011 54.075
0.11385 0.0011 65.0214
0.11495 0.0011 58.2163
0.11605 0.0011 64.7157
0.11715 0.0011 61.3439
0.11825 0.0011 70.1588
0.11935 0.0011 64.7545
0.12045 0.0011 73.7863
0.12155 0.0011 70.0717
0.12265 0.0011 68.0973
0.12375 0.0011 75.046
0.12485 0.0011 80.3747
0.12595 0.0011 75.2946
0.12705 0.0011 81.833
0.12815 0.0011 78.0226
0.12925 0.0011 83.5457
0.13035 0.0011 75.2413
0.13145 0.0011 74.7545
0.13255 0.0011 78.3889
0.13365 0.0011 81.1297
0.13475 0.0011 80.9531
0.13585 0.0011 79.5659
0.13695 0.0011 82.5659
0.13805 0.0011 82.2588
0.13915 0.0011 82.2699
0.14025 0.0011 83.679
0.14135 0.0011 79.6692
0.14245 0.0011 85.7145
0.14355 0.0011 82.0778
0.14465 0.0011 83.9384
0.14575 0.0011 75.6568
0.14685 0.0011 78.4735
0.14795 0.0011 87.5488
0.14905 0.0011 81.0909
0.15015 0.0011 78.6011
0.15125 0.0011 75.3732
0.15235 0.0011 81.464
0.15345 0.0011 76.7849
0.15455 0.0011 80.2442
0.15565 0.0011 83.1357
0.15675 0.0011 82.4738
0.15785 0.0011 78.8218
0.15895 0.0011 79.3037
0.16005 0.0011 76.3652
0.16115 0.0011 80.8214
0.16225 0.0011 84.1404
0.16335 0.0011 75.1599
0.16445 0.0011 76.7705
0.16555 0.0011 76.4463
0.16665 0.0011 75.8078
0.16775 0.0011 79.2648
0.16885 0.0011 76.1511
0.16995 0.0011 77.332
0.17105 0.0011 81.0314
0.17215 0.0011 83.5545
0.17325 0.0011 78.4279
0.17435 0.0011 75.9028
0.17545 0.0011 75.4337
0.17655 0.0011 74.8024
0.17765 0.0011 70.5411
0.17875 0.0011 80.8032
0.17985 0.0011 77.3163
0.18095 0.0011 75.552
0.18205 0.0011 76.8147
0.18315 0.0011 79.3323
0.18425 0.0011 78.4106
0.18535 0.0011 77.2866
0.18645 0.0011 80.9972
0.18755 0.0011 79.9055
0.18865 0.0011 77.8067
0.18975 0.0011 77.7596
0.19085 0.0011 80.5933
0.19195 0.0011 78.3582
0.19305 0.0011 79.3852
0.19415 0.0011 80.5907
0.19525 0.0011 85.3121
0.19635 0.0011 82.3247
0.19745 0.0011 90.0822
0.19855 0.0011 87.0482
0.19965 0.0011 97.7945
0.20075 0.0011 101.624
0.20185 0.0011 105.001
0.20295 0.0011 115.479
0.20405 0.0011 109.018
0.20515 0.0011 107.538
0.20625 0.0011 112.131
0.20735 0.0011 109.279
0.20845 0.0011 111.442
0.20955 0.0011 111.333
0.21065 0.0011 101.755
0.21175 0.0011 108.058
0.21285 0.0011 103.282
0.21395 0.0011 98.6879
0.21505 0.0011 98.3455
0.21615 0.0011 101.405
0.21725 0.0011 107.388
0.21835 0.0011 103.423
0.21945 0.0011 100.389
0.22055 0.0011 95.7133
0.22165 0.0011 94.1993
0.22275 0.0011 106.253
0.22385 0.0011 93.0373
0.22495 0.0011 87.7627
0.22605 0.0011 90.2248
0.22715 0.0011 85.8906
0.22825 0.0011 92.7771
0.22935 0.0011 96.4143
0.23045 0.0011 96.8728
0.23155 0.0011 90.6426
0.23265 0.0011 89.5644
0.23375 0.0011 91.3053
0.23485 0.0011 88.8468
0.23595 0.0011 85.2061
0.23705 0.0011 90.3269
0.23815 0.0011 77.5791
0.23925 0.0011 83.4821
0.24035 0.0011 82.9082
0.24145 0.0011 80.1268
0.24255 0.0011 78.8294
0.24365 0.0011 83.0987
0.24475 0.0011 78.446
0.24585 0.0011 83.163
0.24695 0.0011 84.2118
0.24805 0.0011 78.3555
0.24915 0.0011 81.1028
0.25025 0.0011 77.0846
0.25135 0.0011 76.6177
0.25245 0.0011 80.2915
0.25355 0.0011 79.6695
0.25465 0.0011 84.6175
0.25575 0.0011 77.3152
0.25685 0.0011 75.4919
0.25795 0.0011 81.7838
0.25905 0.0011 74.0356
0.26015 0.0011 75.1894
0.26125 0.0011 74.9553
0.26235 0.0011 75.5567
0.26345 0.0011 73.4315
0.26455 0.0011 73.269
0.26565 0.0011 68.7587
0.26675 0.0011 77.7591
0.26785 0.0011 76.7144
0.26895 0.0011 67.7443
0.27005 0.0011 67.8835
0.27115 0.0011 80.0993
0.27225 0.0011 68.9329
0.27335 0.0011 73.6512
0.27445 0.0011 71.6019
0.27555 0.0011 68.1247
0.27665 0.0011 74.9542
0.27775 0.0011 63.4492
0.27885 0.0011 70.4863
0.27995 0.0011 65.0263
0.28105 0.0011 69.0062
0.28215 0.0011 69.915
0.28325 0.0011 68.3388
